Topic,Count,Name,Representation,Representative_Docs
2255,14,2255_vertically_align_next_alignment,"['vertically', 'align', 'next', 'alignment', 'image', 'vertical', 'displays', 'filling', 'middle', 'under']","['vertically align text next to an image with CSS issue', 'Vertically align text next to an image?', 'Vertically align text next to an image?']"
2256,14,2256_tapping_status_top_uisearchbar,"['tapping', 'status', 'top', 'uisearchbar', 'bar', 'uipageviewcontroller', 'scroll', 'scrolling', 'customcell', 'uisearchcontroller']","['Scroll to top of UITableView by tapping status bar', 'Scroll to top when tapping the status bar', ""Tapping status bar doesn't scroll table view to top""]"
2257,14,2257_postgresql_nextval_serial_egrep,"['postgresql', 'nextval', 'serial', 'egrep', 'next', 'advancing', 'gapless', 'last_value', 'increments', 'upsert']","['postgresql nextval question on sequences', 'postgresql sequence nextval in schema', 'PostgreSQL - next serial value in a table']"
2258,14,2258_truncate_perl_elipses_substr,"['truncate', 'perl', 'elipses', 'substr', 'shortening', 'cutting', 'eof', 'truncating', 'stdin', 'utf8']","['Perl Unable to truncate string', 'How do I truncate a string from a specific character in perl?', 'How to truncate a string to a specific length in perl?']"
2259,14,2259_change_app_iphone_name,"['change', 'app', 'iphone', 'name', 'ios', 'xcode', 'application', 'macos', 'appear', 'cocoa']","['How can I change the name of an iOS app in Xcode?', 'How can I change the name of an iOS app in Xcode?', 'How can I change the name of an iOS app in Xcode?']"
2260,14,2260_interactive_mode_interactiveshell_terminalinteractiveshell,"['interactive', 'mode', 'interactiveshell', 'terminalinteractiveshell', 'interpreter', 'eafp', 'ipython', 'interpretation', 'invocation', 'inspect']","['Run the interactive mode from a python script', ""How does Python's interactive mode work?"", 'Why use Python interactive mode?']"
2261,14,2261_webassembly_webgl_asm_languages,"['webassembly', 'webgl', 'asm', 'languages', 'wasm', 'vm', 'exporting', 'llvm', 'unity', 'instantiate']","['Compile Swift to WebAssembly', 'Is there a Javascript runtime in WebAssembly', 'Create WebAssembly using c#']"
2262,14,2262_xss_sanitizing_sanitization_sanitize,"['xss', 'sanitizing', 'sanitization', 'sanitize', 'unsanitize', 'sanitise', 'editors', 'vulnerabilities', 'flaws', 'sanitizer']","['XSS attack in JavaScript, how to unsanitize HTML', 'Preventing XSS in Node.js / server side javascript', 'Is this code vulnerable to XSS attacks?']"
2263,14,2263_xml_parse_prased_vulnerabilities,"['xml', 'parse', 'prased', 'vulnerabilities', 'parsing', 'whatever', 'incoming', 'xxe', 'parser', 'javascript']","['Parse XML with Javascript', 'JavaScript to parse XML', 'parse xml in javascript']"
2264,14,2264_ve_favorite_seen_trick,"['ve', 'favorite', 'seen', 'trick', 'strangest', 'security', 'little', 'corner', 'fiware', 'hacks']","[""What's the strangest corner case you've seen in C# or .NET?"", ""What's the strangest corner case you've seen in C# or .NET?"", ""What's the strangest corner case you've seen in C# or .NET?""]"
2265,14,2265_simulator_ios6_xcode5_ios,"['simulator', 'ios6', 'xcode5', 'ios', 'simulators', 'beta', 'xcode', 'yosemite', 'navigationview', 'supporting']","['Run app in iOS 6 Simulator in Xcode 6', 'Use iOS 6 simulator in Xcode 5', 'ios 6.0 Simulator in xcode 5.1']"
2266,14,2266_recent_undo_commits_most,"['recent', 'undo', 'commits', 'most', 'local', 'unpushed', 'git', 'pushed', 'state', 'remote']","['How do I undo the most recent local commits in Git?', 'How do I undo the most recent local commits in Git?', 'How do I undo the most recent local commits in Git?']"
2267,14,2267_utc_month_zone_2015,"['utc', 'month', 'zone', '2015', '08', '09', '31', 'timezone', 'date', 'leads']","['Javascript Date.UTC() function is off by a month?', 'Java equivalent of JavaScript Date.UTC', 'How to create UTC date in JS?']"
2268,14,2268_ternary_kotlin_operator_shortcircuit,"['ternary', 'kotlin', 'operator', 'shortcircuit', 'tertiary', 'conditional', 'typical', 'logical', 'statements', 'statement']","['Why ternary operator is not ""working"" in Kotlin?', 'Ternary operator in kotlin', 'Kotlin ternary operator']"
2269,14,2269_mkdir_laravel_composer_wampserver,"['mkdir', 'laravel', 'composer', 'wampserver', 'makedirectory', 'directory', 'artisan', 'autoload', 'chdir', 'laravel5']","['mkdir(): Permission denied Laravel', 'I can not create a folder and keep getting ""mkdir(): No such file or directory"" error in Laravel', 'mkdir(): No such file or directory - laravel']"
2270,14,2270_eclipse_highlight_selection_minted,"['eclipse', 'highlight', 'selection', 'minted', 'keybinding', 'pane', 'highlighting', 'occurrences', 'highlights', 'change']","['How to highlight current method body in Eclipse?', 'Eclipse: How to change the ""Find/Replace"" Search Highlight Colors?', 'How to change highlight color of selection in search tab in Eclipse?']"
2271,14,2271_datetime_nameerror_attributeerror_defined,"['datetime', 'nameerror', 'attributeerror', 'defined', 'callable', 'timedelta', '02', '18', 'typeerror', 'valueerror']","[""Python Django NameError: name 'datetime' is not defined"", ""NameError: name 'datetime' is not defined"", ""NameError: name 'datetime' is not defined have specified import datetime""]"
2272,14,2272_clause_inclusive_mysql_exclusive,"['clause', 'inclusive', 'mysql', 'exclusive', 'ignored', 'between', 'query', 'causes', 'right', 'record']","[""Between clause doesn't work"", 'Why is my BETWEEN clause not working?', 'MySQL ""between"" clause not inclusive?']"
2273,14,2273_arraylist_conveniently_create_quickly,"['arraylist', 'conveniently', 'create', 'quickly', 'array', 'declare', 'add', 'content', 'from', 'into']","['Create ArrayList from array', 'Create ArrayList from array', 'Create ArrayList from array']"
2274,14,2274_linq_foundational_niche_becoming,"['linq', 'foundational', 'niche', 'becoming', 'net', 'vs2010', 'supports', 'framework', 'ef', 'compiled']","['Is LINQ (or linq) a niche tool, or is it on the path to becoming foundational?', 'LINQ on .Net 1.1', 'LINQ on .Net 1.1']"
2275,14,2275_id_selector_particular_jquery,"['id', 'selector', 'particular', 'jquery', 'targeting', 'alert', 'selectors', 'selecting', 'class', 'rather']","['Get an array of id with the selector being a class', 'How do I get the ID of a particular class using jQuery?', 'jQuery Selector of a particular class inside a particular id']"
2276,14,2276_currying_lifting_beginner_functional,"['currying', 'lifting', 'beginner', 'functional', 'decomposition', 'curry', 'partial', 'programming', 'terminology', 'functor']","['Currying functions in Java', 'How does currying work?', ""What is 'Currying'?""]"
2277,14,2277_adt_sdk_upgraded_upgrading,"['adt', 'sdk', 'upgraded', 'upgrading', 'adavantages', 'eclipse', 'ver', 'library', 'libraries', 'android']","['ADT 22 multiple library issues', 'Android Library Dependencies broken after SDK/ADT-Update', '""Unable to get system library for project"" after I upgraded to Android SDK 2.3 and ADT 8.0']"
2278,14,2278_uiactionsheet_cancel_button_dismissing,"['uiactionsheet', 'cancel', 'button', 'dismissing', 'actionsheet', 'uiactionsheets', 'dismisses', 'retract', 'ios4', 'tap']","[""ios UIActionSheet cancel button doesn't work right"", 'UIActionSheet Cancel button is not working properly', 'Problems with Cancel Button and UIActionSheet']"
2279,14,2279_optimization_gcc_o3_optimizing,"['optimization', 'gcc', 'o3', 'optimizing', 'microcontrollers', 'practial', 'implication', 'dcpu', 'minimalistic', 'tie']","['gcc optimization bug or C++ rule broken?', 'Embedded GCC optimization magic', 'GCC Optimization magic']"
2280,14,2280_regex_parenthesis_parentheses_extraction,"['regex', 'parenthesis', 'parentheses', 'extraction', 'everything', 'substitute', 'brackets', 'alone', 'regexp', 'remove']","['Remove everything in parentheses java using regex', 'How to write a regex in java for a String with parenthesis?', 'Remove parenthesis from String using java regex']"
2281,14,2281_service_spring_annotation_repository,"['service', 'spring', 'annotation', 'repository', 'annotations', 'bean', 'interchange', 'restcontroller', 'annotating', 'component']","['Spring annotations @Repository and @Service', 'Spring @Repository and @Service', 'Spring - @Repository annotation in service class']"
2282,14,2282_relationship_querying_query_many,"['relationship', 'querying', 'query', 'many', 'mysql', 'joining', 'pick', 'sql', 'relation', 'select']","['Querying many-to-many relationship in MySql', 'Need a query for many to many relationship in MYSQL', 'SQL query in many-to-many relationship']"
2283,14,2283_abstract_ruby_simulating_classes,"['abstract', 'ruby', 'simulating', 'classes', 'rails', 'unnecessary', 'achieve', 'alternatives', 'functionality', 'approach']","['Integer and other (?) abstract classes in Ruby', 'Abstract Method in Ruby', ""Why Ruby doesn't support abstract classes?""]"
2284,14,2284_native_promotion_jdk_interface,"['native', 'promotion', 'jdk', 'interface', 'methods', 'implementation', 'keyword', 'jvm', 'security', 'java']","['What are native methods in Java and where should they be used?', 'Java Native Interface', 'what is difference between Java Method And Native Method?']"
2285,13,2285_sublime_closing_tag_cut,"['sublime', 'closing', 'tag', 'cut', 'autocompleting', 'hi', 'text2', 'tags', 'html', 'predefined']","['Automatically update the closing tag when open tag changes with Sublime Text 2 on Mac OS X', 'Find closing HTML tag in Sublime Text', 'Auto closing HTML tags in Sublime Text 3']"
2286,13,2286_flatmap_optionalint_map_flatten,"['flatmap', 'optionalint', 'map', 'flatten', 'internally', 'opposite', 'java8', 'flat', 'optional', 'versus']","['FlatMap vs Filter, Map Java', ""What's the difference between map() and flatMap() methods in Java 8?"", 'Is it better to use a single flatMap() over a map().flatMap()?']"
2287,13,2287_copy_expando_attributes_instantiation,"['copy', 'expando', 'attributes', 'instantiation', 'addresses', 'deep', 'properties', 'object', 'python3', 'references']","['How can I create a copy of an object in Python?', 'Copy object in Python?', 'How to copy a class object in python']"
2288,13,2288_protractor_isdisplayed_locator_presence,"['protractor', 'isdisplayed', 'locator', 'presence', 'nosuchelementerror', 'present', 'element', 'shown', 'exists', 'visible']","['Protractor Check if Element Does Not Exist', 'Use element by css to check if element exists in Protractor', 'Check if an element exists in Protractor']"
2289,13,2289_postgres_docker_dockerfile_wait,"['postgres', 'docker', 'dockerfile', 'wait', 'marten', 'entrypoint', 'postgresql', 'start', 'service', 'prior']","['Wait service postgres start dockerfile', 'Docker file wait for postgres container', 'How to start postgres in a docker?']"
2290,13,2290_setattr___setattr___inconsistence_attributeerror,"['setattr', '__setattr__', 'inconsistence', 'attributeerror', 'getattr', 'utilizing', 'attribute', 'combining', 'breaking', 'threading']","['Using Python setattr to set an attribute reference to a method or function', 'Why does setattr does not work as a method?', 'Using setattr() in python']"
2291,13,2291_textblock_scrollbar_wpf_vertical,"['textblock', 'scrollbar', 'wpf', 'vertical', 'textbox', 'scroll', 'automaticly', 'autoscrolling', 'scrollbars', 'horizontal']","['TextBlock with vertical scrollbar only', 'WPF _ TextBlock Vertical ScrollBar issue', 'Wpf TextBlock and Scrollbar']"
2292,13,2292_clearfix_clearing_actually_really,"['clearfix', 'clearing', 'actually', 'really', 'deprecated', 'css', 'clear', 'confusion', 'needed', 'works']","['Why does it work without clearfix?', 'how does clearfix work?', 'What is a clearfix?']"
2293,13,2293_linkedhashmap_classcastexception_cast_linkedhasрmap,"['linkedhashmap', 'classcastexception', 'cast', 'linkedhasрmap', 'getelement', 'otherpojo', 'mymodelclass', 'tomap', 'resttemplate', 'casts']","['java cast LinkedHashMap to class extending LinkedHashMap', 'Convert LinkedHashMap<String,String> to an object in Java', 'How to convert LinkedHashMap to Map<String, Object> in Java?']"
2294,13,2294_reserved_keywords_ambigous_ambiguous,"['reserved', 'keywords', 'ambigous', 'ambiguous', 'column', 'ambigious', 'names', 'look', 'sql', 'deal']","['how do I query a column that has a name similar to a reserved word?', 'How do I escape reserved words used as column names? MySQL/Create Table', 'Creating table names that are reserved words/keywords in MS SQL Server [closed]']"
2295,13,2295_delimited_database_storing_separated,"['delimited', 'database', 'storing', 'separated', 'delimiting', 'rdms', 'homogenous', 'restructure', 'comma', 'seperated']","['Why would you store a delimited list in a SQL text column?', 'Is storing a delimited list in a database column really that bad?', 'Database Design: Is it bad to keep delimited strings in a database']"
2296,13,2296_slow_import_slower_improvements,"['slow', 'import', 'slower', 'improvements', 'huge', 'mysql', 'mariadb', 'bottleneck', 'speed', 'importing']","['MySQL console slow on import of huge SQL files', 'Mysql database import extremely slow', 'Why is import of SQL so slow?']"
2297,13,2297_trackby_ngfor_stil_angular,"['trackby', 'ngfor', 'stil', 'angular', 'track', 'worker', 'rendering', 'angular2', 're', 'side']","['Angular ngFor loop trackBy Function', 'Angular ngFor loop trackBy Function', 'angular ngFor trackBy does not work as I expected']"
2298,13,2298_purchases_testflight_purchase_testing,"['purchases', 'testflight', 'purchase', 'testing', 'sandbox', 'app', 'purchasing', 'rejecting', 'iphone', 'test']","[""iOS In-App-Purchases don't work for non-sandbox accounts in TestFlight"", 'How to test In App Purchases through Apple TestFlight?', 'Testing In App Purchases on TestFlight']"
2299,13,2299_redis_hash_hashes_search,"['redis', 'hash', 'hashes', 'search', 'keys', 'knowing', 'cli', 'perform', 'containing', 'specified']","['How to search in redis for hash keys?', ""Redis, how to query a hash data by it's key"", 'Search in Redis hash key']"
2300,13,2300_regular_expressions_regcomp_reg,"['regular', 'expressions', 'regcomp', 'reg', 'matching', 'replacements', 'performing', 'ex', 'lib', 'examples']","['Writing Regular Expressions for a C string', 'How to use regular expressions in C?', 'Regular Expressions in C']"
2301,13,2301_css3_paragraphs_break_splits,"['css3', 'paragraphs', 'break', 'splits', 'columns', 'breaks', 'force', 'breaking', 'cutting', 'mid']","['Insert column break in css3 column', 'CSS3 columns: a better way to add column break', 'CSS3 Columns , force elements to break']"
2302,13,2302_tabular_formatting_table_format,"['tabular', 'formatting', 'table', 'format', 'println', 'mail', 'outputs', 'java', 'output', 'db']","['Formatting Java Output Like a Table', 'How to format tabular data as text in Java?', 'java formatting tabular output']"
2303,13,2303_float_decimal_precision_double,"['float', 'decimal', 'precision', 'double', 'floating', 'rounding', 'round', 'losing', 'digits', 'exact']","[""What is the difference between 'decimal' and 'float' in C#?"", 'Difference between decimal, float and double in .NET?', 'Difference between decimal, float and double in .NET?']"
2304,13,2304_exists_oracle_existent_queries,"['exists', 'oracle', 'existent', 'queries', 'records', 'sql', 'understand', 'mysql', 'exist', 'usage']","['EXISTS command vs IN command', 'SQL: IN vs EXISTS', 'Difference between EXISTS and IN in SQL?']"
2305,13,2305_keyboard_ipad_onscreen_uikeyboardwillshownotification,"['keyboard', 'ipad', 'onscreen', 'uikeyboardwillshownotification', 'uikeyboard', 'showed', 'dimensions', 'board', 'height', 'size']","['iPad keyboard dimensions', 'How can I get the size of the keyboard on iPhone?', 'ios custom keyboard']"
2306,13,2306_damage_bonus_aasimar_half,"['damage', 'bonus', 'aasimar', 'half', 'plus', 'save', 'spell', 'for', '', '']","['Aasimar bonus damage plus ""Save for half""-spell', 'Aasimar bonus damage plus ""Save for half""-spell', 'Aasimar bonus damage plus ""Save for half""-spell']"
2307,13,2307_default_superglobals_parameters_php,"['default', 'superglobals', 'parameters', 'php', 'filled', 'param', 'parameter', 'argument', 'function', 'specify']","['PHP function with variable as default value for a parameter', ""PHP Function as a Function's Default Parameter"", 'Use function with specific default parameters in php?']"
2308,13,2308_infix_notation_designed_interesting,"['infix', 'notation', 'designed', 'interesting', 'haskell', 'scenario', 'partially', 'precedence', 'applied', 'invoke']","['How do I define infix functions in Haskell?', 'What does the : infix operator do in Haskell?', ""How does the 'infix' work?""]"
2309,13,2309_beginning_elements_array_extend,"['beginning', 'elements', 'array', 'extend', 'add', 'new', 'larger', 'existing', 'middle', 'javascript']","['How can I add new array elements at the beginning of an array in JavaScript?', 'How can I add new array elements at the beginning of an array in JavaScript?', 'How can I add new array elements at the beginning of an array in JavaScript?']"
2310,13,2310_twig_ifs_leads_symfony,"['twig', 'ifs', 'leads', 'symfony', 'null', 'zero', 'displayed', 'putting', 'isset', 'explorer']","['Check if a Entity Field Type returns a value in Twig', 'How to check for null in Twig?', 'Set default value if null in twig']"
2311,13,2311_abstract_typescript_complain_instantiated,"['abstract', 'typescript', 'complain', 'instantiated', 'instantiating', 'recognized', 'typeof', 'declare', 'implementations', 'base']","['Typescript - not implementing abstract method', 'Typescript: instance of an abstract class', 'How to use abstract class in typescript?']"
2312,13,2312_decrypt_encrypted_sha_sha1,"['decrypt', 'encrypted', 'sha', 'sha1', 'sha256', '256', 'sha256managed', '512', 'decrypted', 'quivalent']","['How to decrypt sha1-encrypted String in Java', 'How to decrypt sha1 encrypted string C#', 'Decrypt SHA encrypted string']"
2313,13,2313_glyph_glyphs_nslayoutmanager_coretext,"['glyph', 'glyphs', 'nslayoutmanager', 'coretext', 'frames', 'cgglyphs', 'coregraphics', 'laid', 'bounding', 'calculate']","['Getting information about a glyph in Core Text', 'Using NSLayoutManager to calculate frames for each glyph', 'Using NSLayoutManager to calculate frames for each glyph']"
2314,13,2314_destructuring_destructure_destructured_typification,"['destructuring', 'destructure', 'destructured', 'typification', 'typescript', 'decompose', 'types', 'complains', 'array', 'arrays']","['Types for Array Destructuring', 'Typescript and destructuring array', 'Typescript array destructuring type']"
2315,13,2315_intptr_marshalled_uintptr_adress,"['intptr', 'marshalled', 'uintptr', 'adress', 'uintptr_t', 'verification', 'handles', 'ref', 'questions', 'prototype']","['Just what is an IntPtr exactly?', 'what is intptr?', 'what is intptr?']"
2316,13,2316_circle_clicked_canvas_detect,"['circle', 'clicked', 'canvas', 'detect', 'mouse', 'html5', 'detecting', 'polygon', 'click', 'sense']","['How to detect if a shape was clicked (HTML5 canvas)?', 'How to find out which part of the circle was clicked, using HTML5 canvas?', 'Detecting if user clicked on any circle inside canvas']"
2317,13,2317_tempdata_session_actionresults_verses,"['tempdata', 'session', 'actionresults', 'verses', 'asp', 'viewdata', 'mvc', 'share', 'persistence', 'backed']","['ASP.NET MVC 2: Session or TempData in Master Page?', 'When to use TempData vs Session in ASP.Net MVC', 'Which is better, Session or 2 TempData in ASP.NET MVC?']"
2318,13,2318_viewmodel_viewmodels_mvvm_models,"['viewmodel', 'viewmodels', 'mvvm', 'models', 'mvc', 'mvc2', 'asp', 'view', 'necessary', 'questions']","['Understanding of MVC ViewModel', 'How does ViewModel work in MVC', 'What is ViewModel in MVC?']"
2319,13,2319_64_32_bit_gotchas,"['64', '32', 'bit', 'gotchas', 'atm', 'uint64', '32bit', 'xampp', 'tell', 'hosting']","['How can I determine whether my OS is 32 or 64 bit?', 'Find Windows 32 or 64 bit using PHP', 'Find Windows 32 or 64 bit using PHP']"
2320,13,2320_resolution_colon_builtin_indicate,"['resolution', 'colon', 'builtin', 'indicate', 'purpose', 'act', 'gnu', 'scope', 'declarations', 'members']","['Why is the C++ scope resolution operator ::?', ""Why is `::` called the 'scope resolution operator' when it doesn't act like an operator?"", 'What is the purpose of the : (colon) GNU Bash builtin?']"
2321,13,2321_filter_filters_lambdaj_pojos,"['filter', 'filters', 'lambdaj', 'pojos', 'lambda', 'filtering', 'criteria', 'applying', 'lambdas', 'chaining']","['Java 8 Lambda filter by Lists', 'Java filter with lambda', 'Java 8 Filter Array Using Lambda']"
2322,13,2322_namespace_header_namespaces_qualify,"['namespace', 'header', 'namespaces', 'qualify', 'headers', 'shouldn', 'std', 'entities', 'including', 'declared']","['Should I include header file within a namespace?', 'using namespace std; in a header file', 'Header file for functions inside of a namespace?']"
2323,13,2323_11x_improvement_slow_nop,"['11x', 'improvement', 'slow', 'nop', 'performance', '36', 'il', 'vs2012', 'slower', 'multiply']","['Why does F# compiler generates IL NOP even in release builds?', 'why does F# inline cause 11x performance improvement', 'why does F# inline cause 11x performance improvement']"
2324,13,2324_notice_undefined_offset_warning,"['notice', 'undefined', 'offset', 'warning', 'index', '_files', 'htdocs', 'xampp', 'php', 'username']","['""Notice: Undefined variable"", ""Notice: Undefined index"", ""Warning: Undefined array key"", and ""Notice: Undefined offset"" using PHP', '""Notice: Undefined variable"", ""Notice: Undefined index"", ""Warning: Undefined array key"", and ""Notice: Undefined offset"" using PHP', '""Notice: Undefined variable"", ""Notice: Undefined index"", ""Warning: Undefined array key"", and ""Notice: Undefined offset"" using PHP']"
2325,13,2325_eclipse_ide_plug_plugins,"['eclipse', 'ide', 'plug', 'plugins', 'plugin', 'roku', 'functionalities', 'javacc', 'ides', 'capabilities']","['Force.com IDE Plugin for Eclipse', 'C++ IDE Eclipse', 'how program and compile C in eclipse IDE in ubuntu 11.10? which plug in I need to install?']"
2326,13,2326_conference_compromise_laptop_risk,"['conference', 'compromise', 'laptop', 'risk', 'machine', 'against', 'push', 'back', 'request', 'personal']","['How to push back against request to use personal laptop at conference due to risk of machine compromise', 'How to push back against request to use personal laptop at conference due to risk of machine compromise', 'How to push back against request to use personal laptop at conference due to risk of machine compromise']"
2327,13,2327_parcelable_serializable_encountered_ioexception,"['parcelable', 'serializable', 'encountered', 'ioexception', 'runtimeexception', 'getactivity', 'lang', 'encounteredclassnotfoundexception', 'startactivity', 'notserializableexception']","['Parcelable encountered IOException writing serializable object', 'parcelable encountered ioexception writing serializable object.........?', 'Parcelable encountered IOException writing serializable object?']"
2328,13,2328_occurrence_last_grab_characters,"['occurrence', 'last', 'grab', 'characters', 'character', 'identify', 'string', 'substring', 'str', 'each']","['How to get the last character of a string?', 'How do I find the last occurrence of a substring in a Swift string?', 'Get the last occurrence of string within another string']"
2329,13,2329_sha_sha1_propmt_revision,"['sha', 'sha1', 'propmt', 'revision', 'fingerprint', 'signing', 'tmp', 'editing', 'cloning', 'checking']","['git get back sha-1 after checking out an old revision', 'git get back sha-1 after checking out an old revision', 'Why does Git use SHA-1 as version numbers?']"
2330,13,2330_occurrences_replace_all_replacing,"['occurrences', 'replace', 'all', 'replacing', 'javascript', 'words', 'full', 'string', 'pattern', 'match']","['How do I replace all occurrences of a string in JavaScript?', 'How do I replace all occurrences of a string in JavaScript?', 'How do I replace all occurrences of a string in JavaScript?']"
2331,13,2331_cin_clear_buffer_intregration,"['cin', 'clear', 'buffer', 'intregration', 'flush', 'no_ci', 'leaves', 'complaining', 'doesnt', 'contents']","['Cin.clear() issue', 'Clear the cin buffer before another input request, c++', 'How to clear cin Buffer in c++']"
2332,13,2332_restore_executions_recovering_variables,"['restore', 'executions', 'recovering', 'variables', 'save', 'overwrite', 'plain', 'saving', 'session', 'force']","['How do I save and restore multiple variables in python?', 'Plain-text, Python-syntax file to save and restore some class variables?', 'Saving and recovering values of variables between executions']"
2333,13,2333_prophecy_spirit_cessationalists_apostleship,"['prophecy', 'spirit', 'cessationalists', 'apostleship', 'manifestations', 'gift', 'tongues', 'target', 'especially', 'other']","['Why is it that cessationalists especially target the gift of prophecy and tongues, and apostleship, vs other manifestations of the Spirit?', 'Why is it that cessationalists especially target the gift of prophecy and tongues, and apostleship, vs other manifestations of the Spirit?', 'Why is it that cessationalists especially target the gift of prophecy and tongues, and apostleship, vs other manifestations of the Spirit?']"
2334,13,2334_fluent_fluentvalidation_validation_unobtrusively,"['fluent', 'fluentvalidation', 'validation', 'unobtrusively', 'validating', 'validations', 'validate', 'sure', 'present', 'asp']","['Conditional Validation using Fluent Validation', 'Fluent Validation, different validation for each item in a list in Asp.NET Core', 'Fluent Validation custom validation']"
2335,13,2335_readonly_protected_marking_field,"['readonly', 'protected', 'marking', 'field', 'appropriate', 'inefficiency', 'autoproperty', 'benefit', 'benefits', 'advise']","['C# protected readonly autoproperty with only a get accessor vs protected readonly field', 'Is there value in creating a property for a readonly field', 'readonly keyword does not make a List<> ReadOnly?']"
2336,13,2336_mac_macos_phpbrew_56,"['mac', 'macos', 'phpbrew', '56', 'php54', 'installing', 'renders', 'installation', 'sierra', 'mountain']","['MacOS Sierra PHP installation with Homebrew not able to use homebrew php', 'Error while installing PHP 7.1 for Mac (with Homebrew)', 'Installing PHP using Homebrew on Mac']"
2337,13,2337_try_util_scala_exceptions,"['try', 'util', 'scala', 'exceptions', 'chapter', 'mentioned', 'scalaz', 'accumulate', 'catch', 'prefer']","['Why does `scala.util.Try(date)` not return `Failure` when `date` is not defined?', 'Why `scala.util.Try` is not mentioned in chapter ""Handling errors without exceptions"" of book ""functional programming in Scala""?', 'What advantages does scala.util.Try have over try..catch?']"
2338,13,2338_golang_logging_logrus_centralized,"['golang', 'logging', 'logrus', 'centralized', 'concurrent', 'routines', 'go', 'minimal', 'requests', 'implement']","['Golang logging strategy', 'Proper logging implementation in Golang package', 'How to implement level based logging in golang?']"
2339,13,2339_xpath_inspector_safari_firefox,"['xpath', 'inspector', 'safari', 'firefox', 'codeception', 'executejs', 'developer', 'edition', 'explorer', 'selenium']","['How to find xpath of an element in firefox inspector', 'Xpath in Safari Web Inspector not working', 'Using XPath in Safari 6 web inspector']"
2340,13,2340_min_minimum_max_maximum,"['min', 'minimum', 'max', 'maximum', 'ints', 'maxes', 'basics', 'preprocessor', 'displaying', 'pointer']","['Min/Max Value of a short int in C', 'min and max value of data type in C', 'MIN and MAX in C']"
2341,13,2341_viewmodel_viewmodelprovider_viewmodelfactory_factory,"['viewmodel', 'viewmodelprovider', 'viewmodelfactory', 'factory', 'viewmodels', 'androidviewmodelfactory', 'need', 'recreate', 'provider', 'important']","['Why a viewmodel factory is needed in Android?', 'Why it is important to implement a ViewModelProvider.Factory for my viewModel class?', 'View model initialization using ""by viewModels()"" vs ""ViewModelProvider(this).get(ViewModel::class.java)"" in android']"
2342,13,2342_robolectric_notfoundexception_resources_buildactivity,"['robolectric', 'notfoundexception', 'resources', 'buildactivity', 'res', 'roboelectric', 'gradlew', 'gradle', 'resource', 'test']","['android.content.res.Resources$NotFoundException in Robolectric 2.4', 'Resources$NotFoundException when using Robolectric with Gradle', 'Gradle Robolectric Resources NotFoundException in Testing']"
2343,13,2343_unsupported_operand_dict_items_typeerror,"['unsupported', 'operand', 'dict_items', 'typeerror', 'dict_keys', 'dict', 'as_coefficients_dict', 'odict_items', 'attributeerror', 'julia']","[""TypeError: unsupported operand for +: 'dict' and 'str' in python"", ""Python - TypeError: unsupported operand type(s) for +: 'int' and 'dict'"", ""TypeError: unsupported operand type(s) for *: 'dict' and 'int'""]"
2344,13,2344_hello_helloworld_windows_node,"['hello', 'helloworld', 'windows', 'node', 'js', '1255', '800a1391', 'prompt', 'interactively', 'jscript']","['Run Hello world from node.js command prompt in windows 7', 'node js in windows cannot run a Hello World program in js', 'How to run a hello.js file in Node.js on windows?']"
2345,13,2345_dictionary_typescript_strongly_typed,"['dictionary', 'typescript', 'strongly', 'typed', 'collections', 'named', 'safe', 'types', 'declare', 'issues']","['how to use C# dictionary in typescript?', 'C# Dictionary in TypeScript?', 'Dictionary type in TypeScript']"
2346,13,2346_logged_keep_login_autologin,"['logged', 'keep', 'login', 'autologin', 'nonces', 'approach', 'secure', 'expire', 'allowing', 'stay']","['Keep Accounts Logged In', 'Best method to keep user logged in?', 'PHP - How can i keep my user logged in?']"
2347,13,2347_apt_ec2_aws_amazon,"['apt', 'ec2', 'aws', 'amazon', 'sudo', 'instance', 'cloud9', 'ami', 'found', 'taken']","['How to install apt-get on AWS EC2 instance?', 'AWS EC2 : sudo: apt-get: command not found error', 'Ec2 instance on AWS apt- get not working']"
2348,13,2348_wsgi_cgi_mod_wsgi_uwsgi,"['wsgi', 'cgi', 'mod_wsgi', 'uwsgi', 'frameworks', 'scgi', 'mod_python', 'python_wsgi', 'fastcgi', 'consist']","['what is the difference between wsgi, python_wsgi, wsgi server and mod_wsgi?', 'Understanding WSGI', 'How do I Convert CGI to WSGI?']"
2349,13,2349_maven_multi_updating_modules,"['maven', 'multi', 'updating', 'modules', 'module', 'project', 'version', 'expat', 'pom', 'aggregate']","[""Updating version numbers of modules in a multi-module Maven project where the aggregate root isn't a parent pom"", 'Maven: how to update version of one module in a multi-module project?', 'Updating version numbers of modules in a multi-module Maven project']"
2350,13,2350_stdclass_php_stand_alternative,"['stdclass', 'php', 'stand', 'alternative', 'question', 'properties', 'generic', 'object', 'access', 'writing']","['What is stdClass in PHP?', 'What is stdClass in PHP?', 'What is stdClass in PHP?']"
2351,13,2351_iterator_pairwise_iterable_pythonic,"['iterator', 'pairwise', 'iterable', 'pythonic', 'excludes', 'last', 'fastest', 'cleanest', 'reached', 'first']","['Fastest way to get the first and last element of a python iterator', 'All but the last N elements of iterator in Python', 'Last element in a python iterator']"
